star,title,time,director,cost,year
,Jurassic World,"2 hours, 5 minutes",,"Buy HD $19.99,Buy SD $19.99",2015
,The Adventures Of Shark Boy And Lava Girl,"1 hour, 33 minutes",,"Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99",2005
,Furious 7 (Extended Edition),"2 hours, 21 minutes",,"Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $14.99",2015
,Back to the Future Part III,"2 hours, 0 minutes",,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99",1990
,Mad Max: Fury Road,"2 hours, 1 minute",,"Rent HD $4.99,Rent SD $3.99,Buy HD $19.99,Buy SD $14.99",2015
,Marvel's The Avengers: Age Of Ultron (Theatrical),"2 hours, 22 minutes",,"Rent HD $5.99,Rent SD $4.99,Buy HD $19.99,Buy SD $14.99",2015
,The Hunger Games: Catching Fire,"2 hours, 27 minutes",,"Buy HD $13.99,Buy SD $12.99",2013
,Star Trek Into Darkness,"2 hours, 13 minutes",,"Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99",2013
,Transformers: Age of Extinction,"2 hours, 46 minutes",,"Buy HD $14.99,Buy SD $9.99",2014
,Hercules (2014),"1 hour, 39 minutes",,"Buy HD $14.99,Buy SD $13.99",2014
,Back to the Future Part II,"1 hour, 49 minutes",,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99",1989
,San Andreas,"1 hour, 55 minutes",,"Buy HD $19.99,Buy SD $14.99",2015
,Back to the Future,"1 hour, 57 minutes",,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99",1985
,Marvel's The Avengers: Age Of Ultron (Plus Bonus Features),"3 hours, 9 minutes",,"Buy HD $19.99,Buy SD $14.99",2015
,Teenage Mutant Ninja Turtles,"1 hour, 42 minutes",,"Buy HD $19.99,Buy SD $14.99",2014
